	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	0.0	0.2780415290999644	-0.0	-0.008087900628722567	-0.32521336840790016	0.0	0.0
cap02	0.0	0.0	-0.02320116330164896	0.21368261226473753	-0.28673170685018706	-0.04950992405605205	0.17077411051766467	0.0
cap03	-0.02122231375851063	0.0	0.0	-0.0	-0.0	0.0	0.0	0.14604439415283493
cap04	-0.0	-0.0	-0.0	0.0	0.0	-0.2921304760227618	0.19123086993001728	0.0
cap05	-0.11772168713878885	0.0	0.0	-0.20582755501428143	0.0	-0.0	0.16268878390670957	0.21448731938011875
cap06	0.0	-0.40666662685187854	-0.0	0.11992812308317094	-0.1751402825639119	0.0	-0.06390465744309719	0.4033835315818281
cap07	-0.06360943630574711	0.0	0.0	0.0	-0.0	0.0	0.0	0.0
cap08	0.0	-0.0046896324101052865	0.056085770629997644	-0.0	0.0	0.0	0.0	0.0
