	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	0.10395501266065614	0.39523160951595926	-0.0	-0.0	-0.0	-0.2253312022682693	-0.0
cap02	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.10369735702065223	0.0
cap03	-0.0	-0.12762686320354166	0.0	0.0	-0.049708400516407944	0.0	0.33290545442493974	-0.1767455099580119
cap04	-0.0	0.24210948032335772	-0.0	0.0	0.0	-0.05912060254940687	-0.24747738787073395	0.08220975006475989
cap05	-0.0	0.18455784828702895	-0.0	0.0	0.0	-0.0	-0.0	0.0
cap06	-0.0	0.27362219401986376	-0.18448568386434053	0.0	0.0	0.0	-0.1607806936708349	0.0
cap07	0.0	-0.0	-0.23591237136204754	0.0	-0.0	0.30798016713033005	0.0	0.3854893274051258
cap08	0.0	0.0	0.009213191908515744	-0.0	-0.11184048745612174	0.0	0.0	0.0
