	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	0.10096740402246551	-0.00119152492738455	0.0727748011305341	-0.0	0.11308612983842202	-0.0	-0.06198491657354562
cap02	0.0	0.0	0.0	0.0	0.0	0.10064533517237922	0.0	-0.33715756506972466
cap03	-0.06394963379970416	-0.09719063962360874	0.0	-0.0	-0.0	0.4521150594689703	-0.0	-0.007704517427180569
cap04	-0.0	-0.0	-0.09349618575506738	0.0	0.0	0.07235257592410202	-0.0	0.0
cap05	-0.11538424614654168	-0.0	0.2638929697209335	0.0	0.0	0.0	-0.0	-0.0
cap06	-0.0	-0.0	0.05792532950596672	0.04306738422529533	-0.0	0.0	-0.47230933404174574	0.1574785710903712
cap07	-0.14857143526346334	-0.0	0.06901390617213947	-0.0	0.13748277946597579	-0.0	0.0	-0.11996277373482996
cap08	0.0	-0.087088175534829	-0.22773021330210108	-0.0	0.158823928527176	0.0043889356454672275	-0.36226487158333975	0.0
