	Mode 15
Concerns	0.3311487474283586
People	0.25703041018479555
Friend	0.06509920303414085
Family	-0.09987871229419018
Today_Past	-0.06917560702690424
Social_Future	-0.28284362311045047
Social_Past	0.0
NearLocation	0.018991911136526794
Guilt	0.08602276213693735
Today_Plan	-0.07859609569475882
RecentPast	0.46240050882771844
DistantPast	0.17958295374728636
Anger	0.0
Happiness	-0.24452655575977286
Cheerfulness	0.03639459357646712
Calm	0.190442564340759
Sadness	0.014089570810577321
Importance	-0.13110483864701536
TodayFuture	0.05787438047045295
DistantFuture	0.0
NearFuture	0.0
Worries	-0.17615210728175487
DistantLocation	-0.43273164267789216
Image	0.27211061242995765
Words	0.06661274535815814
Monologue	0.10808244815447957
Film	-0.0
Narrative	-0.12866365009037592
Purpose	0.0
Vague	-0.10667367791110974
Fragment	0.10377134086459454
