	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	0.0	-0.0	0.13160534741534857	0.011079838486193256	-0.06838517993870984	0.0	-0.0
cap02	-0.02382233468837736	0.0	-0.3249682792298275	0.4863907560651479	0.006936463493584231	0.13293510572154846	0.0	-0.3486328544500233
cap03	0.0	0.04808676536671612	0.0	-0.0	0.0	-0.1171043782826337	-0.0	-0.0
cap04	0.0	-0.0	-0.062136824916787556	0.0	-0.0	0.0	0.0	-0.0
cap05	-0.0	-0.051213616452621576	0.0	-0.0	0.0	0.27928203271992846	-0.004943236564464516	0.18638970537954716
cap06	0.17365101751843418	0.0	0.0	0.026476362044596895	0.0	0.0	-0.0	-0.20905238637428844
cap07	0.31815110439272554	0.0	-0.0	-0.05941794906177222	-0.004918539319764915	-0.0	0.0	0.19295622548002925
cap08	0.1419564385552654	0.2695938007884711	-0.1563703241711128	-0.16353880452599878	-0.0	-0.0	0.0	0.0
