	Mode 4
Concerns	-0.0015647867108795521
People	-0.13443137325864726
Friend	-0.11703446228027999
Family	-0.1067230612899901
Today_Past	-0.3984931146301135
Social_Future	-0.1899539526085711
Social_Past	-0.1567968227998694
NearLocation	-0.0551457016942261
Guilt	-0.04648759521636941
Today_Plan	-0.17377366659673005
RecentPast	-0.20457898629013005
DistantPast	0.10003531708086333
Anger	0.0
Happiness	0.05010195976467125
Cheerfulness	0.07316026914132952
Calm	-0.0
Sadness	-0.008688496471922309
Importance	0.07403089935085481
TodayFuture	-0.093840455778891
DistantFuture	-0.16317409742765587
NearFuture	0.0027312033799389446
Worries	-0.045738941369545615
DistantLocation	0.08936164095486726
Image	0.08728719105796383
Words	0.020711506068596123
Monologue	0.1679764887944943
Film	-0.045267049008863164
Narrative	0.16197783646555203
Purpose	0.31113658036208097
Vague	-0.5182690205377465
Fragment	-0.4015233372540178
