	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	0.2475003054548565	0.0	-0.0	-0.0	0.08166830299555129	0.0	-0.0
cap02	0.19009946060738006	0.0	-0.0	0.0	0.0	-0.02911669770575625	-0.0	-0.0
cap03	0.0	0.0	0.0	0.0	-0.48725647005306166	0.16118257373220024	0.0	0.03829921190624282
cap04	-0.0	-0.0	-0.2634578014779043	0.0	0.44685321582842047	-0.12003886370723907	-0.0	-0.0
cap05	-0.0	-0.023032042646893645	0.0	-0.0	0.0	-0.07337621474321153	0.0	0.0
cap06	0.005518810819057212	0.0	-0.17698056140889423	-0.0	0.27069243864293724	0.0	-0.0	0.0
cap07	0.1313345214906666	-0.20005430413483202	0.0	0.04566116325140439	0.02923461209380355	-0.07714808584923205	0.0	-0.058567110868936
cap08	0.12260265613504216	-0.0	0.12393552032773571	0.07642321048999205	-0.015533359913204387	-0.21416513778686097	0.2902622666756945	0.0
