	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	-0.13060873087451777	-0.056057150454038245	0.10740574908165368	0.0	-0.0	-0.0	0.0
cap02	0.14890511673401605	0.0	0.13192251691308662	0.0	-0.23722701899494136	0.0	0.0	-0.0
cap03	0.0	-0.0	0.0	0.06868267078757485	0.0	-0.0	-0.029574218163847785	0.09789917140289646
cap04	0.21589132711541065	-0.0	-0.18472240807244658	0.0	0.0	0.03655312809156267	-0.22784453657429066	0.0
cap05	0.0	-0.11813062215014865	0.0	-0.26805546638288436	0.0	0.18055960151618222	0.6109901463351319	-0.04476477354315283
cap06	-0.25828153642300106	0.31474431744890063	-0.0034029778120172488	-0.0	-0.061349654062217686	0.0	0.0	0.0
cap07	0.0	-0.0	-0.049135169906076005	-0.0	-0.0	0.1477894871504684	0.0	-0.17805528105729918
cap08	-0.0	0.05410953020705311	-0.0	0.0	0.00457492364881149	-0.032753457657630075	-0.0	0.0
