	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	-0.0	0.00949694539466807	0.0	-0.0	-0.0	-0.0	0.0
cap02	-0.17217522695285262	0.0	0.02695568581082636	0.0	-0.2697380483267062	0.1528438660379127	0.0	0.0
cap03	-0.0	0.0	0.0	-0.0	-0.024361920617650825	0.0	0.0	-0.07950869483551307
cap04	0.0	-0.0	0.0	0.0	-0.0	0.008557807710875467	-0.04096944927943416	0.0
cap05	0.0	0.013749586825390084	0.0	-0.03026420421252306	0.0	-0.0	0.08864277088198164	-0.19799330100929388
cap06	-0.06116932231650281	0.0	0.09682964566875624	-0.0	-0.3161526722823955	0.0	-0.0	-0.12460390043756359
cap07	0.1856828366686619	0.0	0.1018057284824748	0.18647621628824992	-0.0986238245051906	-0.6203918441270796	0.0	0.14232615605165225
cap08	0.20321991864064007	-0.09849207072265431	0.0	0.26901992068993136	-0.23382013097869664	-0.1219907318029354	-0.02413131460222798	0.0
