	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	-0.1711573776249056	-0.0	-0.0	0.13195581155726363	0.0	-0.5233429724056573	0.12310965237055022
cap02	-0.0	0.0	0.0	0.12278120423129046	0.0	-0.32066598913928424	0.24470214667027373	-0.25349630659591
cap03	0.0	0.17276687163006132	0.0	0.1512361593113794	-0.0658192014696647	-0.0	-0.11322952982395657	0.0
cap04	0.0	-0.2828265195366198	0.28332842013783366	0.0	0.0	0.0	0.013568696289185818	-0.0
cap05	-0.0	0.0	-0.0	0.0	0.0	-0.13775660493612457	-0.0	0.0
cap06	-0.0	0.06248270809665623	-0.0121602130971455	0.1925576991223304	0.0	0.0	-0.0	-0.0
cap07	-0.0	-0.2764611611480475	0.1895409047773724	0.0	-0.0	-0.0	0.0	0.015084477999213242
cap08	-0.1385289639755955	0.0	0.0	0.0014443604286937352	-0.0	0.0	-0.0	0.0
