	Mode 10
Concerns	-0.0
People	-0.01633471451651229
Friend	-0.13040291620936328
Family	0.0
Today_Past	0.20175942261671947
Social_Future	-0.0
Social_Past	-0.13419258570148485
NearLocation	0.27176638159815286
Guilt	0.15040595718017752
Today_Plan	0.0210107906564913
RecentPast	-0.19282715071103249
DistantPast	-0.2647431791314045
Anger	0.16943077165031198
Happiness	0.14402395139807753
Cheerfulness	0.12310469445756037
Calm	0.3942075736429385
Sadness	0.17313177522253648
Importance	0.46085106075234084
TodayFuture	0.0
DistantFuture	-0.0
NearFuture	-0.0635808102778388
Worries	0.03656541930003413
DistantLocation	-0.17867975054084476
Image	0.003823193190806267
Words	-0.0
Monologue	0.0
Film	-0.20151621745686102
Narrative	-0.33983983891423175
Purpose	0.24308823470409835
Vague	-0.016299209003226737
Fragment	0.06842265967792774
