	Mode 5
Concerns	-0.037556703756377666
People	0.18079945860558583
Friend	0.17986092658011324
Family	0.012397418324420595
Today_Past	0.07577200819277559
Social_Future	-0.0
Social_Past	0.0
NearLocation	-0.0
Guilt	-0.1627675107088152
Today_Plan	-0.40902449415857267
RecentPast	-0.15872064067209865
DistantPast	-0.0
Anger	-0.0
Happiness	0.2346692054674776
Cheerfulness	0.12013895201087474
Calm	0.137545391529812
Sadness	0.0
Importance	0.0891829870142678
TodayFuture	-0.43699657221833565
DistantFuture	-0.24013313899088373
NearFuture	-0.2258364573517421
Worries	-0.2344576038834611
DistantLocation	0.028417137154937506
Image	0.035245447668582876
Words	0.06410915259989808
Monologue	0.10636419980483662
Film	0.39572853405068564
Narrative	0.0324376492417752
Purpose	-0.16177966418656395
Vague	0.0026056759529506143
Fragment	0.23745713720830797
