	Mode 16
Concerns	0.1851035920286945
People	-0.22155052597081212
Friend	0.09494634653888344
Family	-0.24586441856557711
Today_Past	0.0
Social_Future	0.14285085973929101
Social_Past	0.5570007844062053
NearLocation	0.13414093936535323
Guilt	-0.15565134792334018
Today_Plan	0.04341734375747234
RecentPast	0.146843848306484
DistantPast	-0.0
Anger	0.03552270764094987
Happiness	-0.22382618777428082
Cheerfulness	0.03725099597303684
Calm	0.09697828133045311
Sadness	-0.13788777093965338
Importance	0.02838881867437855
TodayFuture	-0.0
DistantFuture	-0.4604077789554981
NearFuture	-0.19623161252529578
Worries	0.0
DistantLocation	0.20018231333840758
Image	-0.09740415450008193
Words	0.1795039620686226
Monologue	0.0
Film	-0.014352566328034083
Narrative	-0.09809183126886584
Purpose	0.11943434039916365
Vague	0.044371916715093745
Fragment	-0.10278683782169544
