	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	0.0	0.19620625993969554	0.0	-0.0	-0.0	0.0	-0.10897076041029011
cap02	-0.0	0.0	-0.3304082354028318	0.12383647857339863	-0.0	-0.0	0.0	0.22528436371161725
cap03	-0.19780114482195996	0.10324448577534548	0.0	-0.007036309289571504	0.0	0.0	0.0	-0.0
cap04	0.05578529569515157	-0.0	0.0	0.0	-0.21263884592900237	-0.0	0.06016993541998133	0.0
cap05	0.3846579415233704	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.274161955406442
cap06	0.0	0.16204879956647925	-0.0	-0.09083477374548048	0.27357765773934883	0.0	-0.3479951661948841	0.0
cap07	0.0	-0.054004019722846255	0.16110136603371053	0.0	-0.1562682393272492	-0.0	0.0	-0.4003728824305294
cap08	0.0	0.0	-0.0	-0.0	-0.07360359839031641	0.0	0.0	0.0
