	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	0.0	-0.09501420369141758	0.0	0.0	-0.0	0.0	0.0067308115644628425
cap02	-0.11775109659257357	0.0	-0.15100039081116332	0.13469187262200802	0.0	0.0	-0.0014552814791777959	0.097354973031193
cap03	-0.0	-0.0	0.0	-0.05012247838605576	-0.0	0.057666139406413075	0.0	0.0
cap04	0.0	-0.3857784798006148	0.07219505460349683	0.0	0.2868628166692448	-0.20800416762902038	-0.05236796524247944	0.15245829962258844
cap05	-0.0	0.0	0.4237645704986371	-0.06018361487027354	0.0	-0.0	0.0	-0.2422146508809307
cap06	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0
cap07	0.15450966212797088	0.13685297044484174	-0.30827969319838566	-0.004936573203376704	0.0	-0.0	0.0	0.02358350593951126
cap08	-0.2512446480916184	-0.1204986500820776	0.0	-0.0	0.0	0.396778797299665	0.007699065194685304	0.0
