	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	-0.025520074656403095	0.0	0.5299440765839305	-0.14952762475701586	-0.12831430730915658	-0.0	0.0
cap02	0.04382227607840946	0.0	-0.04395572528548221	-0.0	0.01051880616746806	-0.32754596102355304	-0.0	0.33913165718284694
cap03	0.184268523725624	-0.0	0.0	-0.010253442588793977	-0.09889376172121038	0.008410815658280977	0.0	-0.19447757356285372
cap04	0.0	-0.0	0.1256618801793826	0.0	-0.04764151207128281	0.0	0.0139601672537917	-0.0
cap05	-0.39784016151601	-0.0	0.037407215026198246	0.20390691208478334	0.0	-0.0	0.0	-0.0
cap06	0.07824659908216748	-0.0	0.0	-0.046062134605381326	-0.03362177968428172	0.0	-0.02470912985760719	0.0
cap07	0.24532772047893883	0.0	-0.04152136022486422	-0.08675818604509851	0.0	-0.0	0.0	-0.09476841543459034
cap08	0.01159674657390174	0.10080762951936569	0.0	0.006647589586571712	0.0	-0.20795244075520455	-0.10097136322418222	0.0
