	Mode 6
Concerns	-0.14181064715905306
People	-0.38586787563278385
Friend	-0.05620261353798694
Family	0.07629323845165821
Today_Past	0.18240780780490615
Social_Future	-0.32497772811885023
Social_Past	0.10533118073819157
NearLocation	0.037854683464442915
Guilt	0.08666244231109482
Today_Plan	-0.04973865654200813
RecentPast	0.08203643495532881
DistantPast	0.5846459516820476
Anger	0.19254264955706718
Happiness	0.09969101631230896
Cheerfulness	0.05161684764070775
Calm	0.24292575484175996
Sadness	0.21357191873489956
Importance	-0.00853306033753599
TodayFuture	-0.0306585961016705
DistantFuture	0.09711923962091108
NearFuture	-0.03381354324960836
Worries	0.1838058696395384
DistantLocation	0.256521130912742
Image	0.11620571486074849
Words	-0.05222909155759199
Monologue	0.019829218762830458
Film	0.03159220290505517
Narrative	0.025318593341798597
Purpose	-0.14545900979951723
Vague	0.08474083950834231
Fragment	-0.0
