	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	-0.16679116404906275	0.0	0.0	-0.0	-0.0	-0.0	0.0
cap02	-0.06368056726543839	0.0	0.0	-0.0	-0.21625476062152238	0.0	0.0	0.09207193644632045
cap03	0.010274644378212705	-0.07597700036533378	0.0	0.0	0.0	0.41413583390708913	-0.1900750864176022	-0.20244143504535267
cap04	-0.023977806372712285	-0.06089918032746616	-0.24096878186859003	0.0	0.07744969612858936	0.0	-0.00888803213432002	0.16115735561792038
cap05	0.01160230430352276	-0.0	-0.3870407819301353	-0.0	0.0	-0.0	-0.0	0.30507042341090895
cap06	0.4465380747331386	0.0	-0.0	-0.0	-0.0	0.0	-0.015787693591453093	-0.13820268334641977
cap07	-0.0	-0.0	0.059539881992967426	-0.0	-0.1781563844875473	0.03041584288377195	0.0	-0.0
cap08	-0.18330824442012275	-0.0	-0.0	0.0	-0.07608956074395094	0.16320468500096666	0.0	0.0
