	Mode 11
Concerns	0.01156691970114245
People	-0.08494799236251763
Friend	-0.014447907969908837
Family	-0.2305170408474267
Today_Past	0.043263482294340155
Social_Future	0.21758578318621385
Social_Past	-0.0278255619420982
NearLocation	-0.03452515925212127
Guilt	0.38345831653945733
Today_Plan	0.02492934565421304
RecentPast	-0.15793927004173128
DistantPast	0.15644103900414427
Anger	0.06939203918855096
Happiness	0.04116455467342045
Cheerfulness	0.14254798425269524
Calm	-0.08048398554436922
Sadness	-0.3870662255027277
Importance	-0.08314480422101972
TodayFuture	-0.0
DistantFuture	0.06368783647029108
NearFuture	-0.4215726569253736
Worries	0.3485667005398145
DistantLocation	-0.3652706848605101
Image	0.014423475403738324
Words	-0.1032094588637934
Monologue	0.12807118716505675
Film	0.12002230558212856
Narrative	0.12428929638916791
Purpose	0.05609193746552036
Vague	-0.0
Fragment	0.06354191526490445
