	Mode 14
Concerns	-0.2658302044367294
People	0.27898485255274746
Friend	-0.20631998723566364
Family	-0.3859313179053338
Today_Past	0.14184533932064564
Social_Future	0.09660769718505796
Social_Past	-0.0
NearLocation	-0.267179602260834
Guilt	-0.2644187294582642
Today_Plan	0.0
RecentPast	0.03328554905039743
DistantPast	-0.0986669154935999
Anger	0.2798478790678698
Happiness	-0.02982891772437185
Cheerfulness	-0.0
Calm	0.46404159518257193
Sadness	0.02661827460356518
Importance	-0.28557646611080706
TodayFuture	-0.0176895743906491
DistantFuture	-0.0
NearFuture	0.10840835551904247
Worries	0.1964271639366913
DistantLocation	-0.0
Image	0.06815440931273462
Words	-0.0804250108473589
Monologue	-0.10695195207087015
Film	0.05268370191376668
Narrative	0.1186115620011997
Purpose	0.02011749277419815
Vague	-0.0
Fragment	-0.10555048647058753
