	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	-0.0	0.2539830567194995	0.0	-0.40210901006823435	0.0	-0.0	0.0
cap02	0.008339320385383367	0.0	0.14169777706592726	0.15144968678251586	0.08471073970489008	-0.0	-0.4769169962682477	-0.025340747598068453
cap03	0.0	0.2817574919744038	0.0	0.0012140496645247482	-0.09485542279390063	-0.0	-0.07935724516484507	-0.0
cap04	0.12879306899223283	0.0	0.0	0.0	0.0	0.0	0.0	-0.1399550008411773
cap05	0.0	-0.3484852145117807	-0.0	0.0	0.0	0.251128646360366	0.0	0.04058211203689099
cap06	0.022428777440837468	0.0	-0.12942598115539516	0.0	-0.0	0.0	-0.0	0.0
cap07	-0.06027758051496673	0.1323549866385653	0.0	-0.0	-0.0	-0.0	0.0	0.0
cap08	-0.12670534885776466	-0.29824149229122715	0.05604239147635402	0.16230729758249896	-0.03685513850563534	0.06468817343352566	-0.0	0.0
