	Mode 1
Concerns	0.092600670519381
People	0.0
Friend	0.2889518426447943
Family	0.0780091535345782
Today_Past	0.0
Social_Future	0.3431105913604581
Social_Past	0.08976518570447255
NearLocation	0.048741678396918196
Guilt	0.0
Today_Plan	0.0
RecentPast	0.16595385386719183
DistantPast	0.0
Anger	0.0
Happiness	0.19438007518944975
Cheerfulness	0.21111566056284017
Calm	0.1339897597815978
Sadness	0.10915943212694858
Importance	0.20027450367809513
TodayFuture	0.12796697169893106
DistantFuture	0.1858564288811545
NearFuture	0.3870087829623787
Worries	0.17106428689814215
DistantLocation	0.0
Image	0.0
Words	0.21959193587695647
Monologue	0.3523014570995702
Film	0.0703205751239042
Narrative	0.4169243497239613
Purpose	0.11291719614249147
Vague	-0.0
Fragment	0.0
