	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	0.1318040568768478	0.05380185349935964	-0.0	-0.0	0.0	-0.0	-0.0
cap02	0.014874782916142408	0.0	-0.0	0.0	0.11166720018827615	-0.04197596493365746	-0.05807981064016442	-0.0
cap03	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.024222731943144934
cap04	-0.08721423628069214	-0.0649189401006186	0.0	0.0	-0.02013069546075514	-0.0	0.016926688627734873	0.051258151002116274
cap05	0.0	0.1534661504942164	0.14988648146738484	-0.2286435351283955	0.0	0.0	0.0	-0.0
cap06	0.23963597285575494	-0.0	-0.16784791325393605	-0.21245792076232167	0.0	0.0	0.22034218958156915	-0.0
cap07	-0.10521891503406217	0.14406514890867295	0.0	0.2621369836905457	-0.5309463759734376	0.0	0.0	0.09761434758408576
cap08	-0.0	-0.0	-0.0	0.012426806812194836	0.4634096807812584	-0.22041882708880986	-0.11461074831550744	0.0
