	Mode 12
Concerns	0.2593330365007493
People	-0.12481395306353912
Friend	-0.2344328647958178
Family	-0.2391228663944969
Today_Past	0.2549433635718606
Social_Future	-0.0
Social_Past	0.1541826535416572
NearLocation	-0.09707104617543982
Guilt	0.06286607961213242
Today_Plan	-0.4762948773834657
RecentPast	-0.06693680872972278
DistantPast	-0.01578627074594593
Anger	0.01872837662765329
Happiness	0.19729645728980857
Cheerfulness	0.15245790606413526
Calm	-0.265010031549477
Sadness	-0.16918031060159328
Importance	-0.12013384146329496
TodayFuture	0.007009191399613205
DistantFuture	0.07909257311384255
NearFuture	0.4485152094178341
Worries	-0.0
DistantLocation	0.06601462733268246
Image	0.0019768122807207675
Words	-0.0
Monologue	-0.04281634436150864
Film	-0.0058266350120226885
Narrative	-0.2543902983430047
Purpose	0.11816069429861159
Vague	0.013390636401433419
Fragment	0.05421795670872897
