	Mode 3
Concerns	0.1426089763426128
People	0.16418725673724954
Friend	-0.0
Family	0.02825255901014349
Today_Past	0.21401558030462023
Social_Future	-0.0
Social_Past	0.06819678571386904
NearLocation	0.41395030813417355
Guilt	0.06941944581228823
Today_Plan	-0.18132762341131545
RecentPast	-0.11264216578497874
DistantPast	0.0
Anger	0.15056884942758061
Happiness	-0.329662178033454
Cheerfulness	-0.28161349172045996
Calm	-0.29457506704765896
Sadness	0.3613099942644087
Importance	-0.052888964191780186
TodayFuture	-0.2657864470114707
DistantFuture	0.0
NearFuture	0.0
Worries	0.23026000959950005
DistantLocation	0.0071028190157530575
Image	-0.008152984412721425
Words	-0.04860145093901744
Monologue	0.0
Film	0.028322816251420014
Narrative	0.2632462306359315
Purpose	0.2209250087811994
Vague	-0.06237790723790228
Fragment	-0.0
