	Mode 7
Concerns	-0.09938943103187721
People	0.2852377126631665
Friend	-0.03220579339391493
Family	0.2742425902962309
Today_Past	0.45381754462868323
Social_Future	0.01319485978589954
Social_Past	0.18539016033160963
NearLocation	0.05225323186754881
Guilt	0.13030620182549082
Today_Plan	0.09112256854495157
RecentPast	0.06633957883915143
DistantPast	0.20376256645142257
Anger	-0.09432804295213497
Happiness	0.052875605703099834
Cheerfulness	0.1841168447244876
Calm	0.0
Sadness	-0.14240745521322198
Importance	-0.02580859822998441
TodayFuture	-0.03149294992335885
DistantFuture	0.010653343042201828
NearFuture	-0.009076436591148691
Worries	-0.1359283770737737
DistantLocation	-0.10450626165470207
Image	-0.30367872517032496
Words	0.09550650327518213
Monologue	-0.15466162045031331
Film	0.0
Narrative	-0.0
Purpose	-0.0
Vague	-0.4064238405855221
Fragment	-0.3612759014508843
