	Mode 9
Concerns	0.1854207990880824
People	-0.0049021458284008975
Friend	0.16208646944239746
Family	0.13694105918033
Today_Past	-0.059644535813065364
Social_Future	-0.0
Social_Past	-0.011773931334688806
NearLocation	-0.06882019400360935
Guilt	-0.17801187156496917
Today_Plan	-0.2838049780116923
RecentPast	0.0
DistantPast	-0.0853724857367502
Anger	0.05257196868746642
Happiness	0.14852389448851114
Cheerfulness	0.13644394204191104
Calm	0.0
Sadness	0.18636597476384953
Importance	-0.22214117406122846
TodayFuture	-0.0
DistantFuture	-0.05882200783499075
NearFuture	-0.16989428098877785
Worries	0.35923353295483
DistantLocation	-0.22169218849767355
Image	-0.23770354840570418
Words	6.948468056334988e-05
Monologue	-0.051287305570144236
Film	-0.5191050908641931
Narrative	0.0
Purpose	-0.3308328223571265
Vague	0.0
Fragment	-0.128541005621999
