	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	-0.33635975140838603	-0.0	0.0	-0.014700377647729926	-0.0	0.0	0.2600222333707614
cap02	-0.03951259003009305	0.0	0.06483790460324061	-0.0	0.0	-0.0	0.0	-0.0
cap03	-0.24684673757737916	0.0	0.0	0.3952274980190139	-0.04390819563839348	-0.0	0.3573008437082859	-0.1851735918762979
cap04	0.0	0.01704074435143614	0.0	0.0	0.06208401083135539	0.0401001772180026	-0.08050634039726384	-0.09548297604234975
cap05	-0.0	0.0	-0.0	0.0	0.0	0.19705343473497125	0.0	-0.02057656486512083
cap06	0.0	-0.3978813748345913	0.10102397490280302	-0.33513219768572955	0.17630564490690465	0.0	0.0	0.1571312647879419
cap07	0.049449625429336605	-0.11422587192637482	-0.020873452705156222	0.11628806736666163	-0.0	0.0	0.0	-0.0
cap08	0.0	-0.00018906435446609481	-0.07477384353531878	-0.0	0.0	0.0	-0.0	0.0
