	cap01	cap02	cap03	cap04	cap05	cap06	cap07	cap08
cap01	0.0	0.004122449813664768	-0.11501493627216909	0.10048060983901631	-0.057352826147887635	0.0	0.0	0.07390995592888187
cap02	-0.0	0.0	-0.005367705213259255	0.0	0.0	0.06546750357348544	-0.07435897513075107	0.011809900067225968
cap03	0.030374707038226208	0.0	0.0	0.0	0.0	0.05317961097101184	-0.2434682478400727	-0.0
cap04	0.0751335060156893	0.33571919306777304	-0.0	0.0	0.10073661245535272	-0.14672637960262544	0.0	-0.41371601301174876
cap05	0.0	0.553680925770568	0.0	-0.2551717675773247	0.0	0.01661556757453065	-0.0	-0.10175196338085736
cap06	0.10075978732265264	-0.0	-0.12946370074929664	0.07446886495143845	0.012739619958586504	0.0	0.0	-0.0
cap07	0.0	-0.0	0.1150622970687215	-0.29867398077429647	0.01361114408916054	0.03313012182223559	0.0	-0.0007706608943665428
cap08	0.0	0.0	-0.172635094830666	0.14070582522183644	-0.07381961957779569	-0.0	-0.0	0.0
