	Mode 2
Concerns	0.12944702175497325
People	-0.0
Friend	0.2880753083003707
Family	-0.0
Today_Past	-0.19188524092429857
Social_Future	0.30429179287433344
Social_Past	0.06759152308627872
NearLocation	0.15799992398905283
Guilt	0.0
Today_Plan	-0.0
RecentPast	0.04243406929721299
DistantPast	0.03383076390328943
Anger	0.10088506790983215
Happiness	0.05794863275502748
Cheerfulness	0.03457270890886672
Calm	0.0
Sadness	0.0
Importance	0.058528501042407644
TodayFuture	-0.16839425323267831
DistantFuture	0.193825862418479
NearFuture	0.0
Worries	-0.0
DistantLocation	0.09690833746806285
Image	0.3098791910900144
Words	-0.4887423422221341
Monologue	-0.32401978496777456
Film	0.08268171569782937
Narrative	-0.2937478010401332
Purpose	-0.15593935411922819
Vague	-0.204192706245638
Fragment	-0.21418001377967108
