participant_id	Gradient 1	Gradient 2	Gradient 3	CAP
group	0.08859425418988	-0.804847988551791	0.031897491423739	1
A00018030	0.088998756962352	-0.488136969848439	-0.060428204764645	1
A00027159	0.096598026830551	-0.652562018995734	-0.147349715340729	1
A00027439	0.082333160775371	-0.637797096003703	0.162032526774978	1
A00027443	0.072485418961462	-0.530255334359622	0.112459714031115	1
A00027544	0.161189268189752	-0.546199284465943	0.062375840915071	1
A00028150	0.007407624127165	-0.481838597135282	0.145571849187251	1
A00028152	0.023218647878522	-0.540285185506803	0.126747632773198	1
A00028177	-0.037416567947984	-0.723182191395807	0.034480777164397	1
A00028184	0.069358619187005	-0.624332237556679	0.072069985308046	1
A00028192	0.05422455538109	-0.523736704358219	0.108459411012751	1
A00028207	0.019531309604067	-0.511908030086152	0.033128295019678	1
A00028389	0.160540448033321	-0.655715856292472	0.082761610264413	1
A00028399	0.005035063667669	-0.639098661289616	0.168061175008773	1
A00028400	-0.092508686884015	-0.523601906938539	0.1247403821714	1
A00028429	-0.064704176618903	-0.568800184835559	0.102547765321334	1
A00028468	0.052197917222968	-0.387665768995866	0.029224231266468	1
A00028605	-0.00519410317099	-0.55313433596876	0.307284459517626	1
A00028606	0.063773861260135	-0.615148440270395	0.007282529108651	1
A00028613	0.115338023902808	-0.574783991835325	-0.110841999477926	1
A00028656	-0.046320678896219	-0.654761003130356	-0.007949466967563	1
A00028678	0.137079888096646	-0.480662645621433	-0.048545954275995	1
A00028694	0.015814613858233	-0.673376618155343	0.057568779088089	1
A00028754	0.06689588790521	-0.6216911782422	0.148465462844228	1
A00028766	0.069278843367123	-0.619309535437019	0.086535831083277	1
A00028784	0.18250915709695	-0.690611422549316	-0.02878388023401	1
A00028842	0.234145190969905	-0.411978993327108	0.033585728641896	1
A00028844	0.213764422165237	-0.546172007693007	0.142620951649184	1
A00028845	-0.098536135749283	-0.649585560633835	-0.177675735127123	1
A00028858	0.179540377818632	-0.641791039562931	-0.015688107456465	1
A00028912	0.00269959552809	-0.573100881627936	0.124909474005114	1
A00028929	0.072891140330848	-0.376715699118597	-0.097318355269477	1
A00028994	0.079407821589917	-0.633257310372152	0.012076358109823	1
A00028995	-0.116185031977789	-0.45632360748703	-0.122301136341101	1
A00029075	0.226021137379512	-0.503236708811829	0.179367633913796	1
A00029076	-0.003612746078884	-0.612146268054933	0.274561452932012	1
A00029104	-0.090153868194483	-0.668864204045587	0.041825251191297	1
A00029126	-0.013430437518477	-0.583626128172558	0.109936169646511	1
A00029127	-0.125522889103745	-0.719745689213645	0.022861060188147	1
A00029215	0.00604589076699	-0.767475012229147	0.029251179558908	1
A00029219	0.066428717054404	-0.579547059930361	-0.096528233123427	1
A00029230	-0.134727300536509	-0.330241156548799	0.049886861389374	1
A00029231	0.238180082697126	-0.487583755099588	-0.160050363279777	1
A00029303	-0.197187868698066	-0.685593431246216	-0.020221945413172	1
A00029304	0.052548726198445	-0.550589115109349	-0.189766757247682	1
A00029979	0.144252481603716	-0.674878181166117	0.143507566663218	1
A00030912	0.088352239192139	-0.457029665112881	-0.201621598086214	1
A00030913	0.03446466681028	-0.59207375322983	-0.005122469006434	1
A00030980	0.116227968513976	-0.658512905656786	0.151583737581399	1
A00030981	0.069281117956671	-0.521339579033295	-0.170233009106332	1
A00030989	0.057535804170172	-0.574118331316702	-0.106827677218439	1
A00031167	0.158423551715853	-0.442208459387411	-0.022417004867178	1
A00031216	0.162997946618517	-0.554819893353235	0.107107783546422	1
A00031217	0.085507413069229	-0.765921425398783	0.114259439928147	1
A00031219	0.084071275686466	-0.679629330409212	-0.035896939850877	1
A00031272	0.157428766846614	-0.659297459595047	0.072122916896182	1
A00031410	5.79343486779345E-05	-0.579217527369277	0.018905712941814	1
A00031411	0.127110343131312	-0.636776939654609	0.037928935259888	1
A00031452	0.080113665854265	-0.623366279668659	-0.020373342293487	1
A00031459	0.171287133261396	-0.606602766993934	0.343309423545985	1
A00031549	0.07404923691866	-0.56447991628859	0.158646462115762	1
A00031578	0.144562883060253	-0.612996475470892	0.012766587074271	1
A00031604	0.230973179669637	-0.529140061261749	0.023197346251962	1
A00031605	0.087178968298224	-0.611265317223082	0.252090745457666	1
A00031625	-0.053701245675327	-0.649289460963492	0.048150588663724	1
A00031683	0.077885055318403	-0.791145438159657	-0.082132792364553	1
A00031794	0.153536507044865	-0.712943709191526	-0.100127994954979	1
A00031871	0.008409878964436	-0.614909135691466	-0.004551408493319	1
A00031872	0.100290845559269	-0.588271172457247	0.050408418520747	1
A00031881	0.074431634959077	-0.544964427209311	-0.040664450104684	1
A00031893	0.151301104918797	-0.693680367197162	0.003484498560879	1
A00031894	-0.135781953506751	-0.721178408842296	0.016746610783169	1
A00032007	0.022511518856446	-0.695558858737198	0.033373387552819	1
A00032010	0.07826907559424	-0.505870947321744	-0.068064119630919	1
A00032862	0.199793260810581	-0.305530426020128	0.028381700742264	1
A00032875	0.236819164423735	-0.683742428418732	0.059386736957942	1
